cellID,Crystal ID,ThetaID,PhiID,CrateID,X cm,Y cm,Z cm,R_xy cm,R_3D cm,theta rad,phi rad,theta deg,phi deg,direction_x,direction_y,direction_z,dir_theta,dir_phi,ring_id,corner0_x,corner0_y,corner1_x,corner1_y,corner2_x,corner2_y,corner3_x,corner3_y,corner0_z,corner0_theta,corner0_phi,corner1_theta,corner1_phi,corner2_theta,corner2_phi,corner3_theta,corner3_phi
1,0,0,0,37,49.51,3.31,212.13,49.62,217.85,0.2298,0.0667,13.17,3.82,0.24104,0.0159,0.97039,0.244,0.0659,0.0,45.83949265053132,0.025957501497854,45.44392115188819,6.0091422508514825,52.60165823301662,0.0297867088709435,52.14773268595656,6.895600903846525,211.60944444444445,0.21281924582446116,0.0005662693285288789,0.21281924582446116,0.13146931660005734,0.2430662340996682,0.0005662693285288789,0.2430662340996682,0.13146931660005734
2,1,0,1,37,48.67,9.71,212.13,49.62,217.86,0.2298,0.1968,13.17,11.28,0.23703,0.04707,0.97036,0.2441,0.196,0.0,45.44392115188819,6.0091422508514825,44.274453200394085,11.875712780970794,52.14773268595656,6.895600903846525,50.80574677071223,13.627598144257655,211.60944444444445,0.2128192458244614,0.13146931660005734,0.2128192458244614,0.26206086493361225,0.2430662340996682,0.13146931660005734,0.2430662340996682,0.26206086493361225
3,2,0,2,37,46.99,15.94,212.13,49.62,217.85,0.2298,0.327,13.17,18.74,0.22874,0.07774,0.97038,0.244,0.3276,0.0,42.34221396390655,17.561226519943215,44.274453200394085,11.875712780970794,48.588466821367845,20.15182939735119,50.80574677071223,13.627598144257655,211.60944444444445,0.2128192458244614,0.26206086493361225,0.2128192458244614,0.3931527073848313,0.2430662340996682,0.26206086493361225,0.2430662340996682,0.3931527073848313
4,3,0,3,38,44.48,22.0,212.13,49.62,217.85,0.2298,0.4594,13.17,26.32,0.21661,0.10693,0.97039,0.244,0.4586,0.0,42.34221396390655,17.561226519943215,39.68426265697428,22.943823953784943,48.588466821367845,20.15182939735119,45.53841896605786,26.328458636670945,211.60944444444445,0.2128192458244614,0.3931527073848313,0.2128192458244614,0.5242053065847458,0.2430662340996682,0.3931527073848313,0.2430662340996682,0.5242053065847458
5,4,0,4,38,41.25,27.59,212.13,49.62,217.86,0.2298,0.5896,13.17,33.78,0.20098,0.1342,0.97036,0.2441,0.5887,0.0,39.68426265697428,22.943823953784943,36.36431830344711,27.90871037105766,45.53841896605786,26.328458636670945,41.72872195286796,32.02575682620705,211.60944444444445,0.2128192458244614,0.5242053065847458,0.2128192458244614,0.6545917126783398,0.2430662340996682,0.5242053065847458,0.2430662340996682,0.6545917126783398
6,5,0,5,38,37.32,32.71,212.13,49.62,217.85,0.2298,0.7197,13.17,41.24,0.18158,0.15936,0.97038,0.244,0.7203,0.0,32.39608795226888,32.43074537593699,36.36431830344711,27.90871037105766,37.17510487176482,37.21487490082962,41.72872195286796,32.02575682620705,211.60944444444445,0.2128192458244614,0.6545917126783398,0.2128192458244614,0.7859327787501806,0.2430662340996682,0.6545917126783398,0.2430662340996682,0.7859327787501806
7,6,0,6,38,32.67,37.35,212.13,49.62,217.85,0.2298,0.8521,13.17,48.82,0.1592,0.18168,0.97039,0.244,0.8513,0.0,32.39608795226888,32.43074537593699,27.87359406822022,36.39124227022317,37.17510487176482,37.21487490082962,31.985460224882413,41.75961769836472,211.60944444444445,0.2128192458244614,0.7859327787501806,0.2128192458244614,0.9171699368996848,0.2430662340996682,0.7859327787501806,0.2430662340996682,0.9171699368996848
8,7,0,7,38,27.55,41.27,212.13,49.62,217.86,0.2298,0.9822,13.17,56.28,0.13432,0.20089,0.97036,0.2441,0.9814,0.0,22.917549370002128,39.69944194977449,27.87359406822022,36.39124227022317,26.298308070064657,45.55583748284168,31.985460224882413,41.75961769836472,211.60944444444445,0.2128192458244614,0.9171699368996848,0.2128192458244614,1.0472529843488498,0.2430662340996682,0.9171699368996848,0.2430662340996682,1.0472529843488498
9,8,0,8,38,21.96,44.5,212.13,49.62,217.85,0.2298,1.1124,13.17,63.74,0.10677,0.21671,0.97038,0.244,1.113,0.0,17.536285388877673,42.35254956917983,22.917549370002128,39.69944194977449,20.123208992185354,48.60032711791086,26.298308070064657,45.55583748284168,211.60944444444445,0.2128192458244614,1.0472529843488498,0.2128192458244614,1.1782325845196926,0.2430662340996682,1.0472529843488498,0.2430662340996682,1.1782325845196926
10,9,0,9,39,15.89,47.01,212.13,49.62,217.85,0.2298,1.2448,13.17,71.32,0.07755,0.22877,0.97039,0.244,1.2439,0.0,17.536285388877673,42.35254956917983,11.82493276117915,44.28804269149396,20.123208992185354,48.60032711791086,13.569327140551096,50.82134096089766,211.60944444444445,0.2128192458244614,1.1782325845196926,0.2128192458244614,1.3098822229979339,0.2430662340996682,1.1782325845196926,0.2430662340996682,1.3098822229979339
11,10,0,10,39,9.66,48.67,212.13,49.62,217.86,0.2298,1.3749,13.17,78.78,0.04722,0.237,0.97036,0.2441,1.3741,0.0,5.983420690011648,45.44731496025194,11.82493276117915,44.28804269149396,6.866084941206369,52.15162714327569,13.569327140551096,50.82134096089766,211.60944444444445,0.21281924582446116,1.3098822229979339,0.21281924582446116,1.4398929956793243,0.2430662340996682,1.3098822229979339,0.2430662340996682,1.4398929956793243
12,11,0,11,39,3.26,49.52,212.13,49.62,217.85,0.2298,1.5051,13.17,86.24,0.01571,0.24108,0.97038,0.244,1.5057,0.0,-0.0086953097501385,45.83949917529191,5.983420690011648,45.44731496025194,-0.0099780273571964,52.60166572029903,6.866084941206369,52.15162714327569,211.60944444444445,0.21281924582446116,1.4398929956793243,0.21281924582446116,1.5709860171231567,0.2430662340996682,1.4398929956793243,0.2430662340996682,1.5709860171231567
13,12,0,12,39,-3.31,49.51,212.13,49.62,217.85,0.2298,1.6375,13.17,93.82,-0.0159,0.24104,0.97039,0.244,1.6366,0.0,-0.0086953097501385,45.83949917529191,-6.0091422508514825,45.44392115188819,-0.0099780273571964,52.60166572029903,-6.895600903846525,52.14773268595656,211.60944444444445,0.2128192458244614,1.5709860171231567,0.2128192458244614,1.702265643394954,0.2430662340996682,1.5709860171231567,0.2430662340996682,1.702265643394954
14,13,0,13,39,-9.71,48.67,212.13,49.62,217.86,0.2298,1.7676,13.17,101.28,-0.04707,0.23703,0.97036,0.2441,1.7668,0.0,-6.0091422508514825,45.44392115188819,-11.875712780970794,44.274453200394085,-6.895600903846525,52.14773268595656,-13.627598144257655,50.80574677071223,211.60944444444445,0.2128192458244614,1.702265643394954,0.2128192458244614,1.8328571917285092,0.2430662340996682,1.702265643394954,0.2430662340996682,1.8328571917285092
15,14,0,14,39,-15.94,46.99,212.13,49.62,217.85,0.2298,1.8978,13.17,108.74,-0.07774,0.22874,0.97038,0.244,1.8984,0.0,-17.549890188906186,42.34691387347293,-11.875712780970794,44.274453200394085,-20.138820749647078,48.59386005376293,-13.627598144257655,50.80574677071223,211.60944444444445,0.2128192458244614,1.8328571917285092,0.2128192458244614,1.9636813178563033,0.2430662340996682,1.8328571917285092,0.2430662340996682,1.9636813178563033
16,15,0,15,40,-22.0,44.48,212.13,49.62,217.85,0.2298,2.0302,13.17,116.32,-0.10693,0.21661,0.97039,0.244,2.0293,0.0,-17.549890188906186,42.34691387347293,-22.943823953784943,39.68426265697428,-20.138820749647078,48.59386005376293,-26.328458636670945,45.53841896605786,211.60944444444445,0.2128192458244614,1.9636813178563033,0.2128192458244614,2.095001633379642,0.2430662340996682,1.9636813178563033,0.2430662340996682,2.095001633379642
17,16,0,16,40,-27.59,41.25,212.13,49.62,217.86,0.2298,2.1604,13.17,123.78,-0.1342,0.20098,0.97036,0.2441,2.1595,0.0,-22.943823953784943,39.68426265697428,-27.90871037105766,36.36431830344711,-26.328458636670945,45.53841896605786,-32.02575682620705,41.72872195286796,211.60944444444445,0.2128192458244614,2.095001633379642,0.2128192458244614,2.225388039473236,0.2430662340996682,2.095001633379642,0.2430662340996682,2.225388039473236
18,17,0,17,40,-32.71,37.32,212.13,49.62,217.85,0.2298,2.2905,13.17,131.24,-0.15936,0.18158,0.97038,0.244,2.2911,0.0,-32.430745375936986,32.39608795226888,-27.90871037105766,36.36431830344711,-37.214874900829614,37.17510487176482,-32.02575682620705,41.72872195286796,211.60944444444445,0.2128192458244614,2.225388039473236,0.2128192458244614,2.3567291055450763,0.2430662340996682,2.225388039473236,0.2430662340996682,2.3567291055450763
19,18,0,18,40,-37.35,32.67,212.13,49.62,217.85,0.2298,2.4229,13.17,138.82,-0.18168,0.1592,0.97039,0.244,2.422,0.0,-32.430745375936986,32.39608795226888,-36.39124227022317,27.87359406822022,-37.214874900829614,37.17510487176482,-41.75961769836472,31.985460224882413,211.60944444444445,0.2128192458244614,2.3567291055450763,0.2128192458244614,2.487966263694581,0.2430662340996682,2.3567291055450763,0.2430662340996682,2.487966263694581
20,19,0,19,40,-41.27,27.55,212.13,49.62,217.86,0.2298,2.553,13.17,146.28,-0.20089,0.13432,0.97036,0.2441,2.5522,0.0,-39.69944194977449,22.917549370002128,-36.39124227022317,27.87359406822022,-45.55583748284168,26.298308070064657,-41.75961769836472,31.985460224882413,211.60944444444445,0.2128192458244614,2.487966263694581,0.2128192458244614,2.6180493111437464,0.2430662340996682,2.487966263694581,0.2430662340996682,2.6180493111437464
21,20,0,20,40,-44.5,21.96,212.13,49.62,217.85,0.2298,2.6832,13.17,153.74,-0.21671,0.10677,0.97038,0.244,2.6838,0.0,-42.35921614616596,17.52017601887586,-39.69944194977449,22.917549370002128,-48.607977137226776,20.104723194760744,-45.55583748284168,26.298308070064657,211.60944444444445,0.2128192458244614,2.6180493111437464,0.2128192458244614,2.7494092450184517,0.2430662340996682,2.6180493111437464,0.2430662340996682,2.7494092450184517
22,21,0,21,41,-47.01,15.89,212.13,49.62,217.85,0.2298,2.8156,13.17,161.32,-0.22877,0.07755,0.97039,0.244,2.8147,0.0,-42.35921614616596,17.52017601887586,-44.28804269149396,11.82493276117915,-48.607977137226776,20.104723194760744,-50.82134096089766,13.569327140551096,211.60944444444445,0.2128192458244614,2.7494092450184517,0.2128192458244614,2.8806785497928304,0.2430662340996682,2.7494092450184517,0.2430662340996682,2.8806785497928304
23,22,0,22,41,-48.67,9.66,212.13,49.62,217.86,0.2298,2.9457,13.17,168.78,-0.237,0.04722,0.97036,0.2441,2.9449,0.0,-45.44731496025194,5.983420690011648,-44.28804269149396,11.82493276117915,-52.1516271432757,6.866084941206369,-50.82134096089766,13.569327140551096,211.60944444444445,0.2128192458244614,2.8806785497928304,0.2128192458244614,3.010689322474221,0.2430662340996682,2.8806785497928304,0.2430662340996682,3.010689322474221
24,23,0,23,41,-49.52,3.26,212.13,49.62,217.85,0.2298,3.0759,13.17,176.24,-0.24108,0.01571,0.97038,0.244,3.0765,0.0,-45.83949917529191,-0.0086953097501385,-45.44731496025194,5.983420690011648,-52.60166572029903,-0.0099780273571964,-52.1516271432757,6.866084941206369,211.60944444444445,0.2128192458244614,-3.141402963261533,0.2128192458244614,3.010689322474221,0.2430662340996682,-3.141402963261533,0.2430662340996682,3.010689322474221
25,24,0,24,41,-49.51,-3.31,212.13,49.62,217.85,0.2298,-3.0749,13.17,-176.18,-0.24104,-0.0159,0.97039,0.244,-3.0757,0.0,-45.83949917529191,-0.0086953097501385,-45.44215421777493,-6.022489543200459,-52.60166572029903,-0.0099780273571964,-52.14570509666681,-6.9109171665248565,211.60944444444445,0.2128192458244614,-3.141402963261533,0.2128192458244614,-3.009829622200121,0.2430662340996682,-3.141402963261533,0.2430662340996682,-3.009829622200121
