Profile Summary
Generated on: 2026-03-05 13:28:28
Msec since Epoch: 1772717308720
Profiled application: 
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.0
Build version branch: 2024.2
Build version hash: d05b18dc38cc6804ecb4b3dbe6de23f158319567
Build version date: 2024-10-25 10:29:53
Target devices: edge-0
Flow mode: System Run

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
edge-0,load_1,load,1:1:1,1:1:1,1,Yes,1,1.000000x,0.552634,0.552637,0.552634,0.552637,350,
edge-0,store_1,store,1:1:1,1:1:1,1,Yes,1,1.000000x,0.577063,0.577066,0.577063,0.577066,350,




Data Transfer: Streams
Device,Master Port,Master Kernel Arguments,Slave Port,Slave Kernel Arguments,Number Of Transfers,Transfer Rate (MB/s),Average Size (KB),Link Utilization (%),Link Starve (%),Link Stall (%),
edge-0,load_1/outputFeatureStream,outputFeatureStream,PIPE,PIPE,1,0.180787,1048.58,0.00645669,99.9909,0.00260382,
edge-0,load_1/num_stream_0,num_stream_0,PIPE,PIPE,1,0.000706196,4.096,5.04426e-05,99.9999,0,
edge-0,load_1/num_stream_1,num_stream_1,PIPE,PIPE,1,0.000706196,4.096,5.04426e-05,99.9999,0,
edge-0,cdc_caloclusternet_1_layer_24_stream/M_AXIS,M_AXIS,store_1/layer_24_stream,layer_24_stream,1,0.0014124,8.192,5.04429e-05,99.9999,0,
edge-0,cdc_caloclusternet_1_layer_25_stream/M_AXIS,M_AXIS,store_1/layer_25_stream,layer_25_stream,1,0.180787,1048.58,0.0064656,99.9919,0.00163984,
edge-0,cdc_load_1_outputFeatureStream/M_AXIS,M_AXIS,caloclusternet_1/input_stream,input_stream,1,0.180787,1048.58,0.00904164,99.9909,3.1379e-05,
edge-0,caloclusternet_1/layer_24_stream,layer_24_stream,PIPE,PIPE,1,0.0014124,8.192,7.06199e-05,99.9999,0,
edge-0,caloclusternet_1/layer_25_stream,layer_25_stream,PIPE,PIPE,1,0.180787,1048.58,0.00903934,99.991,0,
edge-0,cdc_load_1_num_stream_0/M_AXIS,M_AXIS,caloclusternet_1/num_stream_0,num_stream_0,1,0.000706197,4.096,0.000649164,99.9909,0.00846975,
edge-0,cdc_load_1_num_stream_1/M_AXIS,M_AXIS,caloclusternet_1/num_stream_1,num_stream_1,1,0.000706197,4.096,0.000116619,99.9909,0.00902311,

Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Bandwidth Utilization With Respect To Current Port Configuration (%),Bandwidth Utilization With Respect To Ideal Port Configuration (%),Maximum Achievable BW on Current Port Configuration (MB/s),Maximum Theoretical BW on Ideal Port Configuration (MB/s),Average Size (KB),Average Latency (ns),
edge-0,store_1/m_axi_gmem1,featureList|numList,DDR,WRITE,1024,7624.58,17.0192,39.7114,44800,19200,4.096,227.023,
edge-0,store_1/m_axi_gmem1,featureList|numList,DDR,READ,8,11823.5,26.3918,61.5808,44800,19200,4.096,619.75,
edge-0,load_1/m_axi_gmem0,inFeatureList|inputNumList,DDR,READ,1032,8709.61,19.4411,45.3625,44800,19200,4.096,213.404,

Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
edge-0,load_1,1032,4096,100,4.22707,0,4.22707,8709.61,
edge-0,store_1,1032,4096,100,4.22707,4.1943,0.032768,7645.63,



TITLE:Native API Calls
SECTION:API Calls,Native API Calls
COLUMN:<html>API Name</html>,string,Name of Native XRT API,
COLUMN:<html>Number<br>Of Calls</html>,int,Number of calls to API,
COLUMN:<html>Total<br>Time (ms)</html>,float,Total execution time (in ms),
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum execution time (in ms),
COLUMN:<html>Average<br>Time (ms)</html>,float,Average execution time (in ms),
COLUMN:<html>Maximum<br>Time (ms)</html>,float,Maximum execution time (in ms),
ENTRY:xrt::bo::address,5,0.011501,0.001122,0.0023002,0.005921,
ENTRY:xrt::bo::bo,5,10.8142,0.04588,2.16284,10.4386,
ENTRY:xrt::bo::map,5,0.016318,0.001091,0.0032636,0.005702,
ENTRY:xrt::bo::size,9,0.012131,0.000685,0.00134789,0.003941,
ENTRY:xrt::bo::sync,7,1.55888,0.0028,0.222698,1.51928,
ENTRY:xrt::device::device,2,139.081,8.16071,69.5403,130.92,
ENTRY:xrt::device::load_xclbin,1,2027.77,2027.77,2027.77,2027.77,
ENTRY:xrt::kernel::group_id,4,0.009451,0.001369,0.00236275,0.004046,
ENTRY:xrt::kernel::kernel,3,14.4543,0.071329,4.81811,14.2995,
ENTRY:xrt::run::run,3,0.176958,0.036982,0.058986,0.102259,
ENTRY:xrt::run::start,2,0.059867,0.01941,0.0299335,0.040457,
ENTRY:xrt::run::wait,2,0.020075,0.002383,0.0100375,0.017692,

TITLE:Host Reads from Global Memory
SECTION:Host Data Transfers,Host Reads from Global Memory
COLUMN:<html>Number<br>of Reads</html>,int,Number of host reads (note: may contain OpenCL printf transfers),
COLUMN:<html>Maximum<br>Buffer<br>Size (KB)</html>,float,Maximum buffer size of host reads,
COLUMN:<html>Minimum<br>Buffer<br>Size (KB)</html>,float,Minimum buffer size of host reads,
COLUMN:<html>Average<br>Buffer<br>Size (KB)</html>,float,Average buffer size of host reads: Average Size = (Total KB) / (Number of Transfers),
COLUMN:<html>Transfer<br>Rate (MB/s)</html>,float,Rate of host reads (in MB/s): Transfer Rate = (Total Bytes) / (Total Time in us),
COLUMN:<html>Average<br>Bandwidth<br>Utilization (%)</html>,float,Average bandwidth of host reads: Bandwidth Utilization (%) = (100 * Transfer Rate) / (Max. Theoretical Rate),
COLUMN:<html>Maximum<br>Time (ms)</html>,float,Maximum time of a single host read,
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum time of a single host read,
COLUMN:<html>Total<br>Time (ms)</html>,float,Combined time of all host reads,
COLUMN:<html>Average<br>Time (ms)</html>,float,Average of read durations (in ms),
ENTRY:2,4194.3,34.024,2114.16,214789,100,0.014891,0.004795,0.019686,0.009843,

TITLE:Host Writes to Global Memory
SECTION:Host Data Transfers,Host Writes to Global Memory
COLUMN:<html>Number<br>of Writes</html>,int,Number of host writes,
COLUMN:<html>Maximum<br>Buffer<br>Size (KB)</html>,float,Maximum buffer size of host writes,
COLUMN:<html>Minimum<br>Buffer<br>Size (KB)</html>,float,Minimum buffer size of host writes,
COLUMN:<html>Average<br>Buffer<br>Size (KB)</html>,float,Average buffer size of host writes: Average Size = (Total KB) / (Number of Transfers),
COLUMN:<html>Transfer<br>Rate (MB/s)</html>,float,Rate of host writes (in MB/s): Transfer Rate = (Total Bytes) / (Total Time in us),
COLUMN:<html>Average<br>Bandwidth<br>Utilization (%)</html>,float,Average bandwidth of host writes: Bandwidth Utilization (%) = (100 * Transfer Rate) / (Max. Theoretical Rate),
COLUMN:<html>Maximum<br>Time (ms)</html>,float,Maximum time of a single host write,
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum time of a single host write,
COLUMN:<html>Total<br>Time (ms)</html>,float,Combined time of all host write,
COLUMN:<html>Average<br>Time (ms)</html>,float,Average of write durations (in ms),
ENTRY:5,33554.4,32.768,8401.72,27204.8,100,1.52123,0.003098,1.54416,0.308832,

TITLE:Top Memory Reads: Host from Global Memory
