Profile Summary
Generated on: 2026-03-15 10:03:57
Msec since Epoch: 1773569037015
Profiled application: 
Target platform: Xilinx
Tool version: 2024.2
XRT build version: 2.18.0
Build version branch: 2024.2
Build version hash: d05b18dc38cc6804ecb4b3dbe6de23f158319567
Build version date: 2024-10-25 10:29:53
Target devices: edge-0
Flow mode: System Run

Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
edge-0,load_1,load,1:1:1,1:1:1,1,Yes,1,1.000000x,0.377634,0.377637,0.377634,0.377637,350,
edge-0,store_1,store,1:1:1,1:1:1,1,Yes,1,1.000000x,0.438871,0.438874,0.438871,0.438874,350,




Data Transfer: Streams
Device,Master Port,Master Kernel Arguments,Slave Port,Slave Kernel Arguments,Number Of Transfers,Transfer Rate (MB/s),Average Size (KB),Link Utilization (%),Link Starve (%),Link Stall (%),
edge-0,load_1/num_stream_0,num_stream_0,PIPE,PIPE,1,0.000398667,4.096,2.84762e-05,100,0,
edge-0,load_1/num_stream_1,num_stream_1,PIPE,PIPE,1,0.000398667,4.096,2.84762e-05,100,0,
edge-0,load_1/outputFeatureStream_0,outputFeatureStream_0,PIPE,PIPE,1,0.0510294,524.288,0.00182248,99.9967,0.00151917,
edge-0,load_1/outputFeatureStream_1,outputFeatureStream_1,PIPE,PIPE,1,0.0510294,524.288,0.00182248,99.9967,0.00151917,
edge-0,cdc_g_1_layer_24_stream/M_AXIS,M_AXIS,store_1/layer_24_stream,layer_24_stream,1,0.000797334,8.192,2.84762e-05,100,0,
edge-0,cdc_g_1_layer_25_stream_0/M_AXIS,M_AXIS,store_1/layer_25_stream_0,layer_25_stream_0,1,0.0510294,524.288,0.0018225,99.9966,0.00157236,
edge-0,cdc_g_1_layer_25_stream_1/M_AXIS,M_AXIS,store_1/layer_25_stream_1,layer_25_stream_1,1,0.0510293,524.288,0.0018225,99.9966,0.00157236,

Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Bandwidth Utilization With Respect To Current Port Configuration (%),Bandwidth Utilization With Respect To Ideal Port Configuration (%),Maximum Achievable BW on Current Port Configuration (MB/s),Maximum Theoretical BW on Ideal Port Configuration (MB/s),Average Size (KB),Average Latency (ns),
edge-0,load_1/m_axi_gmem0,inFeatureList|inputNumList,DDR,READ,520,7548.62,16.8496,39.3158,44800,19200,4.096,329.89,
edge-0,store_1/m_axi_gmem1,featureList|numList,DDR,WRITE,512,5097.07,11.3774,26.5472,44800,19200,4.096,327.328,
edge-0,store_1/m_axi_gmem1,featureList|numList,DDR,READ,8,9886.9,22.069,51.4943,44800,19200,4.096,650.875,

Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),
edge-0,load_1,520,4096,100,2.12992,0,2.12992,7548.62,
edge-0,store_1,520,4096,100,2.12992,2.09715,0.032768,5135.34,



TITLE:Native API Calls
SECTION:API Calls,Native API Calls
COLUMN:<html>API Name</html>,string,Name of Native XRT API,
COLUMN:<html>Number<br>Of Calls</html>,int,Number of calls to API,
COLUMN:<html>Total<br>Time (ms)</html>,float,Total execution time (in ms),
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum execution time (in ms),
COLUMN:<html>Average<br>Time (ms)</html>,float,Average execution time (in ms),
COLUMN:<html>Maximum<br>Time (ms)</html>,float,Maximum execution time (in ms),
ENTRY:xrt::bo::address,5,0.012923,0.00129,0.0025846,0.006012,
ENTRY:xrt::bo::bo,5,11.596,0.044455,2.31919,10.6817,
ENTRY:xrt::bo::map,5,0.013393,0.00071,0.0026786,0.006281,
ENTRY:xrt::bo::size,12,0.02671,0.000681,0.00222583,0.007372,
ENTRY:xrt::bo::sync,10,1.60026,0.002821,0.160026,1.53206,
ENTRY:xrt::device::device,2,119.581,8.27043,59.7903,111.31,
ENTRY:xrt::device::load_xclbin,1,2899.61,2899.61,2899.61,2899.61,
ENTRY:xrt::graph::reset,1,0.147815,0.147815,0.147815,0.147815,
ENTRY:xrt::graph::run,1,0.586802,0.586802,0.586802,0.586802,
ENTRY:xrt::kernel::group_id,4,0.012994,0.00111,0.0032485,0.006942,
ENTRY:xrt::kernel::kernel,6,109.392,5.81713,18.2319,79.7979,
ENTRY:xrt::run::run,6,0.322536,0.036551,0.053756,0.111317,
ENTRY:xrt::run::start,6,0.094429,0.008282,0.0157382,0.036841,
ENTRY:xrt::run::wait,6,0.42364,0.00267,0.0706067,0.405826,

TITLE:Host Reads from Global Memory
SECTION:Host Data Transfers,Host Reads from Global Memory
COLUMN:<html>Number<br>of Reads</html>,int,Number of host reads (note: may contain OpenCL printf transfers),
COLUMN:<html>Maximum<br>Buffer<br>Size (KB)</html>,float,Maximum buffer size of host reads,
COLUMN:<html>Minimum<br>Buffer<br>Size (KB)</html>,float,Minimum buffer size of host reads,
COLUMN:<html>Average<br>Buffer<br>Size (KB)</html>,float,Average buffer size of host reads: Average Size = (Total KB) / (Number of Transfers),
COLUMN:<html>Transfer<br>Rate (MB/s)</html>,float,Rate of host reads (in MB/s): Transfer Rate = (Total Bytes) / (Total Time in us),
COLUMN:<html>Average<br>Bandwidth<br>Utilization (%)</html>,float,Average bandwidth of host reads: Bandwidth Utilization (%) = (100 * Transfer Rate) / (Max. Theoretical Rate),
COLUMN:<html>Maximum<br>Time (ms)</html>,float,Maximum time of a single host read,
COLUMN:<html>Minimum<br>Time (ms)</html>,float,Minimum time of a single host read,
COLUMN:<html>Total<br>Time (ms)</html>,float,Combined time of all host reads,
COLUMN:<html>Average<br>Time (ms)</html>,float,Average of read durations (in ms),
ENTRY:2,16777.2,18.272,8397.74,603135,100,0.015003,0.012844,0.027847,0.0139235,

TITLE:Host Writes to Global Memory
SECTION:Host Data Transfers,Host Writes to Global Memory
COLUMN:<html>Number<br>of Writes</html>,int,Number of host writes,
COLUMN:<html>Maximum<br>Buffer<br>Size (KB)</html>,float,Maximum buffer size of host writes,
COLUMN:<html>Minimum<br>Buffer<br>Size (KB)</html>,float,Minimum buffer size of host writes,
COLUMN:<html>Average<br>Buffer<br>Size (KB)</html>,float,Average buffer size of host writes: Average Size = (Total KB) / (Number of Transfers),
COLUMN:<html>Transfer<br>Rate (MB/s)</html>,float,Rate of host writes (in MB/s): Transfer Rate = (Total Bytes) / (Total Time in us),
