pe_type,k,n,m,dtype,optlvl,cycles,latency,throughput,theoretical_cycles,theoretical_latency,theoretical_throughput,efficiency,status
dense,8,8,16,int8,0,42,3.36e-08,29761904.761904757,8,6.4e-09,156250000.0,0.19047619047619047,OK
dense,8,8,16,int8,1,37,2.96e-08,33783783.783783786,8,6.4e-09,156250000.0,0.21621621621621623,OK
dense,8,8,16,int16,0,70,5.6000000000000005e-08,17857142.857142854,32,2.56e-08,39062500.0,0.45714285714285713,OK
dense,8,8,16,int16,1,72,5.76e-08,17361111.111111112,32,2.56e-08,39062500.0,0.4444444444444444,OK
dense,8,8,32,int8,0,48,3.84e-08,26041666.666666668,16,1.28e-08,78125000.0,0.3333333333333333,OK
dense,8,8,32,int8,1,48,3.84e-08,26041666.666666668,16,1.28e-08,78125000.0,0.3333333333333333,OK
dense,8,8,32,int16,0,119,9.52e-08,10504201.680672267,64,5.12e-08,19531250.0,0.5378151260504201,OK
dense,8,8,32,int16,1,121,9.68e-08,10330578.512396693,64,5.12e-08,19531250.0,0.5289256198347108,OK
dense,8,8,64,int8,0,68,5.4400000000000004e-08,18382352.94117647,32,2.56e-08,39062500.0,0.47058823529411764,OK
dense,8,8,64,int8,1,68,5.4400000000000004e-08,18382352.94117647,32,2.56e-08,39062500.0,0.47058823529411764,OK
dense,8,8,64,int16,0,215,1.72e-07,5813953.488372093,128,1.024e-07,9765625.0,0.5953488372093023,OK
dense,8,8,64,int16,1,221,1.768e-07,5656108.597285068,128,1.024e-07,9765625.0,0.579185520361991,OK
dense,8,8,128,int8,0,108,8.64e-08,11574074.074074073,64,5.12e-08,19531250.0,0.5925925925925926,OK
dense,8,8,128,int8,1,108,8.64e-08,11574074.074074073,64,5.12e-08,19531250.0,0.5925925925925926,OK
dense,8,8,128,int16,0,407,3.256e-07,3071253.071253071,256,2.048e-07,4882812.5,0.628992628992629,OK
dense,8,8,128,int16,1,421,3.368e-07,2969121.1401425176,256,2.048e-07,4882812.5,0.6080760095011877,OK
dense,8,8,256,int8,0,188,1.504e-07,6648936.170212766,128,1.024e-07,9765625.0,0.6808510638297872,OK
dense,8,8,256,int8,1,188,1.504e-07,6648936.170212766,128,1.024e-07,9765625.0,0.6808510638297872,OK
dense,8,8,256,int16,0,791,6.328e-07,1580278.1289506953,512,4.096e-07,2441406.25,0.6472819216182049,OK
dense,8,8,256,int16,1,821,6.568e-07,1522533.4957369063,512,4.096e-07,2441406.25,0.6236297198538368,OK
dense,8,16,16,int8,0,64,5.12e-08,19531250.0,16,1.28e-08,78125000.0,0.25,OK
dense,8,16,16,int8,1,43,3.4400000000000004e-08,29069767.441860463,16,1.28e-08,78125000.0,0.37209302325581395,OK
dense,8,16,16,int16,0,170,1.36e-07,7352941.176470588,64,5.12e-08,19531250.0,0.3764705882352941,OK
dense,8,16,16,int16,1,96,7.68e-08,13020833.333333334,64,5.12e-08,19531250.0,0.6666666666666666,OK
dense,8,16,32,int8,0,111,8.88e-08,11261261.261261262,32,2.56e-08,39062500.0,0.2882882882882883,OK
dense,8,16,32,int8,1,64,5.12e-08,19531250.0,32,2.56e-08,39062500.0,0.5,OK
dense,8,16,32,int16,0,306,2.448e-07,4084967.3202614374,128,1.024e-07,9765625.0,0.41830065359477125,OK
dense,8,16,32,int16,1,162,1.296e-07,7716049.382716049,128,1.024e-07,9765625.0,0.7901234567901234,OK
dense,8,16,64,int8,0,203,1.624e-07,6157635.467980295,64,5.12e-08,19531250.0,0.31527093596059114,OK
dense,8,16,64,int8,1,106,8.48e-08,11792452.830188679,64,5.12e-08,19531250.0,0.6037735849056604,OK
dense,8,16,64,int16,0,586,4.688e-07,2133105.8020477816,256,2.048e-07,4882812.5,0.43686006825938567,OK
